relative_time,ph_7.6,ph_7.6,ph_8.2,ph_7.6,ph_8.2,ph_8.2,
0,6.097409668,6.228337402,7.824782715,6.23907959,7.94557251,7.842352295,
59.99988,6.113431396,6.243291016,7.836531982,6.252965088,7.976547852,7.856237793,
119.99976,6.119840088,6.247563477,7.836531982,6.255101318,7.965866699,7.856237793,
179.99964,6.126248779,6.251835938,7.836531982,6.259373779,7.966934814,7.857305908,
239.99952,6.132657471,6.256108398,7.836531982,6.26151001,7.966934814,7.857305908,
299.9994,6.139066162,6.260380859,7.836531982,6.264714355,7.966934814,7.857305908,
359.99928,6.145474854,6.26465332,7.836531982,6.265782471,7.966934814,7.857305908,
419.99916,6.151883545,6.268925781,7.836531982,6.268986816,7.966934814,7.858374023,
479.99904,6.157224121,6.273198242,7.836531982,6.271123047,7.966934814,7.858374023,
539.99892,6.163632813,6.277470703,7.836531982,6.273259277,7.965866699,7.858374023,
599.9988,6.168973389,6.281743164,7.835463867,6.275395508,7.965866699,7.858374023,
659.99868,6.176450195,6.286015625,7.835463867,6.274327393,7.965866699,7.858374023,
719.99856,6.182858887,6.290288086,7.835463867,6.276463623,7.965866699,7.858374023,
779.99844,6.189267578,6.294560547,7.835463867,6.278599854,7.964798584,7.858374023,
839.99832,6.19567627,6.298833008,7.835463867,6.281804199,7.964798584,7.858374023,
899.9982,6.202084961,6.303105469,7.835463867,6.28394043,7.965866699,7.857305908,
959.99808,6.208493652,6.308446045,7.835463867,6.28607666,7.964798584,7.858374023,
1019.99796,6.214902344,6.313786621,7.835463867,6.288212891,7.963730469,7.857305908,
1079.99784,6.22024292,6.319127197,7.835463867,6.290349121,7.963730469,7.857305908,
1139.99772,6.227719727,6.323399658,7.834395752,6.292485352,7.962662354,7.857305908,
1199.9976,6.235196533,6.327672119,7.834395752,6.295689697,7.962662354,7.857305908,
1259.99748,6.241605225,6.333012695,7.834395752,6.297825928,7.962662354,7.857305908,
1319.99736,6.248013916,6.338353271,7.834395752,6.299962158,7.962662354,7.857305908,
1379.99724,6.254422607,6.342625732,7.834395752,6.302098389,7.961594238,7.857305908,
1439.99712,6.261899414,6.347966309,7.833327637,6.304234619,7.961594238,7.857305908,
1499.997,6.268308105,6.353306885,7.833327637,6.30637085,7.960526123,7.857305908,
1559.99688,6.274716797,6.357579346,7.833327637,6.30850708,7.960526123,7.857305908,
1619.99676,6.282193604,6.362919922,7.832259521,6.311711426,7.959458008,7.856237793,
1679.99664,6.288602295,6.368260498,7.832259521,6.314915771,7.959458008,7.855169678,
1739.99652,6.296079102,6.373601074,7.832259521,6.318120117,7.959458008,7.855169678,
1799.9964,6.301419678,6.377873535,7.832259521,6.319188232,7.957321777,7.854101563,
1859.99628,6.3099646,6.384282227,7.832259521,6.322392578,7.959458008,7.855169678,
1919.99616,6.317441406,6.390690918,7.833327637,6.325596924,7.960526123,7.856237793,
1979.99604,6.325986328,6.396031494,7.834395752,6.327733154,7.961594238,7.856237793,
2039.99592,6.335599365,6.403508301,7.835463867,6.332005615,7.963730469,7.857305908,
2099.9958,6.344144287,6.410985107,7.836531982,6.335209961,7.966934814,7.859442139,
2159.99568,6.354825439,6.419530029,7.838668213,6.339482422,7.97013916,7.861578369,
2219.99556,6.364438477,6.427006836,7.839736328,6.342686768,7.971207275,7.862646484,
2279.99544,6.371915283,6.432347412,7.839736328,6.345891113,7.972275391,7.862646484,
2339.99532,6.37939209,6.437687988,7.839736328,6.348027344,7.972275391,7.8637146,
2399.9952,6.387937012,6.443028564,7.839736328,6.351231689,7.972275391,7.8637146,
2459.99508,6.395413818,6.448369141,7.839736328,6.35336792,7.972275391,7.864782715,
2519.99496,6.402890625,6.453709717,7.839736328,6.35550415,7.972275391,7.864782715,
2579.99484,6.409299316,6.459050293,7.839736328,6.356572266,7.972275391,7.864782715,
2639.99472,6.416776123,6.464390869,7.839736328,6.358708496,7.972275391,7.864782715,
2699.9946,6.42425293,6.469731445,7.838668213,6.361912842,7.972275391,7.864782715,
2759.99448,6.430661621,6.476140137,7.839736328,6.362980957,7.972275391,7.864782715,
2819.99436,6.438138428,6.480412598,7.838668213,6.365117188,7.971207275,7.864782715,
2879.99424,6.445615234,6.485753174,7.838668213,6.367253418,7.971207275,7.864782715,
2939.99412,6.453092041,6.49109375,7.838668213,6.369389648,7.971207275,7.864782715,
2999.994,6.459500732,6.497502441,7.838668213,6.371525879,7.971207275,7.864782715,
3059.99388,6.465909424,6.501774902,7.838668213,6.374730225,7.97013916,7.864782715,
3119.99376,6.47338623,6.507115479,7.838668213,6.37793457,7.97013916,7.864782715,
3179.99364,6.479794922,6.512456055,7.838668213,6.380070801,7.97013916,7.864782715,
3239.99352,6.487271729,6.517796631,7.838668213,6.382207031,7.97013916,7.864782715,
3299.9934,6.49368042,6.522069092,7.838668213,6.384343262,7.97013916,7.864782715,
3359.99328,6.501157227,6.528477783,7.838668213,6.386479492,7.969071045,7.864782715,
3419.99316,6.508634033,6.533818359,7.837600098,6.388615723,7.969071045,7.8637146,
3479.99304,6.515042725,6.539158936,7.837600098,6.391820068,7.969071045,7.8637146,
3539.99292,6.522519531,6.544499512,7.837600098,6.392888184,7.969071045,7.8637146,
3599.9928,6.528928223,6.549840088,7.837600098,6.396092529,7.969071045,7.8637146,
3659.99268,6.536405029,6.555180664,7.837600098,6.39822876,7.96800293,7.8637146,
3719.99256,6.542813721,6.56052124,7.837600098,6.401433105,7.96800293,7.8637146,
3779.99244,6.550290527,6.564793701,7.835463867,6.403569336,7.966934814,7.862646484,
3839.99232,6.557767334,6.569066162,7.832259521,6.405705566,7.966934814,7.861578369,
3899.9922,6.564176025,6.574406738,7.831191406,6.407841797,7.966934814,7.860510254,
3959.99208,6.570584717,6.578679199,7.831191406,6.411046143,7.965866699,7.859442139,
4019.99196,6.576993408,6.584019775,7.831191406,6.413182373,7.964798584,7.859442139,
4079.99184,6.5834021,6.589360352,7.830123291,6.415318604,7.964798584,7.858374023,
4139.99172,6.589810791,6.594700928,7.830123291,6.418522949,7.964798584,7.858374023,
4199.9916,6.597287598,6.600041504,7.830123291,6.42065918,7.963730469,7.858374023,
4259.99148,6.604764404,6.60538208,7.830123291,6.423863525,7.963730469,7.857305908,
4319.99136,6.611173096,6.610722656,7.830123291,6.425999756,7.962662354,7.857305908,
4379.99124,6.618649902,6.616063232,7.829055176,6.427067871,7.962662354,7.857305908,
